Epoch,Train_Loss,Main_Loss,Smooth_Loss,Vel_Loss,Val_Loss
1,0.083255,8.334311,0.030066,0.173608,0.050516
2,0.065155,6.472499,0.023545,0.161333,0.045558
3,0.0622,6.198126,0.019614,0.154735,0.04596
4,0.060575,6.057706,0.017983,0.151065,0.050832
5,0.058918,5.929774,0.016139,0.148379,0.045643
6,0.057326,5.775852,0.015395,0.146413,0.043933
7,0.055896,5.645366,0.014145,0.144199,0.043675
8,0.055042,5.574807,0.013111,0.142284,0.044877
9,0.054393,5.535353,0.012277,0.140872,0.045288
10,0.053757,5.468727,0.011715,0.13967,0.043322
11,0.05307,5.422666,0.011118,0.138541,0.043149
12,0.052187,5.331385,0.01035,0.137291,0.043609
13,0.05178,5.286119,0.009848,0.136412,0.042921
14,0.05079,5.206064,0.009447,0.135606,0.042129
15,0.051274,5.26382,0.008967,0.134788,0.045181
16,0.049839,5.116494,0.008558,0.133857,0.045079
17,0.049578,5.106602,0.008172,0.133309,0.043449
18,0.049099,5.051979,0.007867,0.132689,0.043334
19,0.048087,4.964831,0.007446,0.131937,0.044018
20,0.048013,4.976116,0.007151,0.13143,0.04319
