Epoch,Train_Loss,Main_Loss,Smooth_Loss,Vel_Loss,Val_Loss
1,0.091394,7.461752,0.209412,0.263434,0.052287
2,0.068804,5.634227,0.162917,0.228186,0.047521
3,0.064656,5.322265,0.143829,0.21203,0.046862
4,0.063005,5.197285,0.12928,0.200657,0.046738
5,0.061344,5.082584,0.120055,0.193265,0.047133
6,0.059674,4.951614,0.112274,0.187029,0.048066
7,0.058985,4.899678,0.10676,0.182009,0.045067
8,0.057729,4.824773,0.100672,0.177439,0.044089
9,0.056673,4.745915,0.09508,0.173167,0.044887
10,0.055944,4.684047,0.090858,0.169326,0.045412
11,0.055636,4.666412,0.086639,0.16622,0.04508
12,0.055058,4.626949,0.083747,0.163411,0.044444
13,0.053937,4.546489,0.079947,0.160712,0.044699
14,0.053288,4.51241,0.074947,0.157046,0.044627
15,0.052446,4.43815,0.072771,0.154542,0.044302
16,0.052259,4.430789,0.068869,0.152055,0.044688
17,0.052022,4.416205,0.067117,0.150146,0.043512
18,0.051305,4.365348,0.064027,0.147823,0.045436
19,0.050627,4.314043,0.061055,0.145356,0.044608
20,0.049967,4.264087,0.058859,0.143562,0.045686
21,0.04997,4.274531,0.057218,0.141858,0.04312
22,0.049471,4.242916,0.055258,0.140228,0.042636
23,0.049109,4.217792,0.053075,0.138653,0.04402
24,0.048563,4.173669,0.050783,0.136962,0.042663
25,0.048188,4.145055,0.04794,0.135128,0.045221
26,0.047525,4.098667,0.047137,0.133938,0.043183
27,0.04711,4.058587,0.045306,0.132572,0.043794
28,0.046973,4.050901,0.043986,0.131511,0.042882
29,0.046642,4.040298,0.042073,0.129759,0.044824
30,0.046463,4.021157,0.040852,0.128811,0.042456
